"x"
"IGLC2"
"GNLY"
"TCF4"
"CDKN1C"
"PTGDS"
"IGHM"
"IGLC1"
"IGLC3"
"LINC01478"
"CST3"
"SOX5"
"BANK1"
"FCGR3A"
"LINC00996"
"FCER1A"
"IFITM3"
"LILRA4"
"LINC01374"
"LINC02694"
"AC023590.1"
"AC105402.3"
"ITM2C"
"CCL4"
"CD1C"
"HLA-DPB1"
"CCL5"
"NKG7"
"CXCL10"
"MS4A1"
"PLD4"
"GZMB"
"S100A9"
"LYPD2"
"HLA-DRA"
"AL136456.1"
"NRG1"
"IFNG-AS1"
"CD79A"
"CD74"
"S100A8"
"CXCL8"
"VCAN"
"FMNL2"
"HLA-DQA1"
"AIF1"
"MRC1"
"HLA-DPA1"
"LYZ"
"IL1B"
"RHEX"
"GPM6A"
"PLXNA4"
"PRF1"
"PTPRS"
"FAM160A1"
"AFF3"
"RGS7"
"RALGPS2"
"EPHB1"
"LST1"
"TCF7L2"
"UGCG"
"TSHZ2"
"MZB1"
"CUX2"
"AL163541.1"
"LIX1-AS1"
"COL26A1"
"OSBPL10"
"CCSER1"
"HLA-DRB1"
"CCDC26"
"EBF1"
"BCL11A"
"MS4A7"
"IGHA2"
"PDE4D"
"SCT"
"GZMH"
"EREG"
"NEGR1"
"TCL1A"
"PID1"
"IGKC"
"PAX5"
"ADGRB3"
"BX284613.2"
"EMP1"
"LINC02315"
"GALNTL6"
"MTSS1"
"SLC4A10"
"GZMA"
"TRDC"
"CCDC50"
"GZMK"
"IGHD"
"EDA"
"ZFAT"
"CLEC4C"
"CLIC3"
"WARS"
"CLEC10A"
"PLCB1"
"FCRL1"
"COBLL1"
"PLEKHD1"
"SLC38A11"
"COL19A1"
"SAT1"
"NRP1"
"CD36"
"AL589693.1"
"ZNF804A"
"IRF8"
"SLC8A1"
"LINGO2"
"MKI67"
"SERPINA1"
"THBS1"
"S100B"
"IGHG1"
"ENHO"
"IFI30"
"BLK"
"LMNA"
"SPON2"
"HMOX1"
"IGHG2"
"AC092546.1"
"PCDH9"
"NIBAN3"
"AC018742.1"
"VNN1"
"VMO1"
"NAMPT"
"FCER1G"
"AC069277.1"
"PSAP"
"SASH1"
"FTL"
"ACSL1"
"LRMDA"
"PRICKLE1"
"ANXA1"
"SMIM25"
"HDAC9"
"HLA-DRB5"
"HIST1H2AC"
"SPIB"
"IFIT2"
"CFD"
"LRRC26"
"DNASE1L3"
"C1QB"
"NTM"
"AC002460.2"
"JCHAIN"
